ID,parasite_load,species,ST1,ST2,ST3,ST5,unclassify,Pattern,Pattern_class,sex,age,bmi,parasite_load_log,ST1_abs,ST2_abs,ST3_abs
SX40,17.5759153,mfas,33.18614130434783,0,66.7774650621118,0,0.03639363354037267,Pattern_2,ST3_dom,female,4,20,4.135527917293938,583.2768086990488,0,1173.6750698803862
SX41,43.97551725,mfas,25.363936335403725,0,74.62150621118012,0,0.01455745341614906,Pattern_2,ST3_dom,female,5,22.5,5.458628641990424,1115.3922198454484,0,3281.5193336107336
SX42,143.2664165,mfas,22.462150621118013,3.838315217391304,73.67527173913044,0,0.02426242236024844,Pattern_2,ST3_dom,female,5,20,7.162556652639243,3218.071826370827,549.9016665930706,10555.19216672894
SX43,83.66431405,mfas,37.82511645962733,2.203027950310559,59.94759316770186,0,0.02426242236024844,Pattern_3,Balance,male,4,18.388,6.3865404856266075,3164.6124224560854,184.31482229571043,5015.474261324242
SX44,31.20149896,mfas,75.2062305900621,14.746700310559005,10.037364130434783,0,0.00970496894409937,Pattern_1,ST1_dom,male,5,31.368,4.963543434558604,2346.5471255413427,460.1191544033384,313.18080647690215
SX45,84.71528121,mfas,10.774941770186336,8.945555124223603,80.26737189440993,0,0.01213121118012422,Pattern_2,ST3_dom,male,9,32,6.40455032580719,912.8022220827106,757.825217928159,6799.872982022588
SX46,8.927836204,mfas,99.91750776397517,0,0,0,0.08249223602484472,Pattern_1,ST1_dom,female,9,28.355,3.1583105587705242,892.0471432286686,0,0
SX47,15.55602497,mfas,80.13392857142857,15.722049689440995,4.139169254658385,0,0.00485248447204968,Pattern_1,ST1_dom,male,4,11.898,3.959401550538787,1246.5653938013393,244.57259754852487,64.38902028052212
SX48,12.32266457,mfas,5.199437111801243,0,94.80056288819875,0,0,Pattern_2,ST3_dom,male,15,24,3.6232423433128145,64.07091948153631,0,1168.1955375184637
SX49,65.32356809,mfas,84.59093555900621,3.82618400621118,11.553765527950311,0,0.02911490683229813,Pattern_1,ST1_dom,female,9,39.225,6.0295316905199545,5525.781738785544,249.93999145460498,754.733189160957
SX50,219.1828782,mfas,48.21913819875777,11.301436335403729,40.47942546583851,0,0,Pattern_3,Balance,female,3,31.111,7.7759912941829965,10568.809494727291,2477.08134378785,8872.39698148486
SX51,1.693990356,mfas,1.7929930124223603,0,98.1827445652174,0,0.02426242236024844,Pattern_2,ST3_dom,female,5,23.75,0.76042566133446865,3.0373128714188664,0,166.3206224190897
SX52,18.61563674,mfas,3.6927406832298137,16.258249223602483,80.04901009316771,0,0,Pattern_2,ST3_dom,female,7,35.625,4.218443058695892,68.74271913402562,302.65766157497086,1490.1632932910036
